[["气体","吹","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","稳定的气流、气压释放、释放、吹气、喷射、颤动"],
["气体","爆发/喷射","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","空气爆炸、空气爆破、噗噗、喷射、气爆"],
["气体","嘶嘶声","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","放气、排气、 漏气、排出"],
["气体","杂项","AIRMisc","AIR","Air sounds not fitting another category in this list.","各种各样的、 其他空气声音"],
["气体","抽吸","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","吸气、 吸入、吸尘器"],
["航空器","门","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","驾驶舱门、飞机门、舱门、紧急出口"],
["航空器","直升机","AEROHeli","AERO","For all manner of helicopters, gycopters.","旋翼机、 直升机、 "],
["航空器","航空舱","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","飞机、飞机内部录音、复杂环境音、 客机、驾驶舱内部、 滑翔机、 齐柏林飞艇、 喷气客机、 大型喷气式飞机、 里尔喷气机、 空中客车、 波音、 庞巴迪 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380、 战斗机"],
["航空器","喷气式飞机","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","客机、 喷气客机、 大型喷气式飞机、 里尔喷气机、 空中客车公司、 波音、 庞巴迪、 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380"],
["航空器","机械","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","起落架、驾驶舱操纵杆、方向舵、襟翼、起落架"],
["航空器","军用","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","战斗机、轰炸机、隐形轰炸机、蓝天使特技飞行队、雷鸟、军用无人机、 洛克希德、米格、F18、F16、F35、F22、A10、P52、 军用飞机"],
["航空器","杂项","AEROMisc","AERO","Aircraft not fitting another category in this list.","飞艇、 滑翔机、 热气球、 超轻型、 悬挂式滑翔机、 齐柏林飞艇、 飞船、 其他种类的飞机"],
["航空器","螺旋桨飞机","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","双翼飞机、三翼飞机、涡轮螺旋桨飞机、特技飞机、作物喷粉器、农用飞机、螺旋桨、双螺旋桨、螺旋桨喷气发动机、螺旋桨"],
["航空器","塔台","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","四轴飞行器、 无人机、 无人驾驶飞行器、 遥控直升机"],
["航空器","火箭","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","火箭、 导弹、 喷气背包、 航天飞机、 SpaceX、 美国航空航天局、 洲际导弹、 核火箭、 推进器"],
