[["LUFT","BLASEN","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","Druckluft, Druck ablassen, ablassen, puff, sputter, flutter, purge"],
["LUFT","STOSS","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","Luftstoss, Luftpuff, Chuff, Spurt, Explosion"],
["LUFT","ZISCHEN","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","Luft ablassen, ausblasen, ausstoßen, lecken"],
["LUFT","DIV","AIRMisc","AIR","Air sounds not fitting another category in this list.","Verschiedenes"],
["LUFT","SOG","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","Vakuum, saugen, saugen"],
["LUFTFAHRZEUG","TÜR","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","Cockpittür, Flugzeugtür, Luke, Notausgang"],
["LUFTFAHRZEUG","HUBSCHRAUBER","AEROHeli","AERO","For all manner of helicopters, gycopters.","Gyrocopter, Whirlybird, Hubschrauber, Ghetto Bird, Bellcopter, Polizeihubschrauber, Huey, Helikopter, Blackhawk"],
["LUFTFAHRZEUG","INNEN","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","Jet, Flugzeug, Flugzeug, Passagierflugzeug, Segelflugzeug, Zeppelin, Verkehrsflugzeug, Jetliner, Jumbo Jet, Learjet, Airbus, Boeing, Bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, Kampfjet"],
["LUFTFAHRZEUG","JET","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","Verkehrsflugzeug, Düsenflugzeug, Jumbojet, Learjet, Airbus, Boeing, Bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380"],
["LUFTFAHRZEUG","MECHANISMUS","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","Fahrwerk, Cockpithebel, Seitenruder, Klappe"],
["LUFTFAHRZEUG","MILITÄR","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","Kampfjet, Bomber, Tarnkappenbomber, Blue Angels, Thunderbirds, Lockheed, Mig, F18, F16, F35, F22, A10, P52"],
["LUFTFAHRZEUG","DIV","AEROMisc","AERO","Aircraft not fitting another category in this list.","Luftschiff, Segelflugzeug, Heißluftballon, Ultraleicht, Hängegleiter, Zeppelin, Luftschiff"],
["LUFTFAHRZEUG","PROPELLER","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","Doppeldecker, Dreidecker, Turboprop, Stuntflugzeug, Crop Duster, Piper Cub, Propeller, Twin-Prop, Propjet, Luftschraube"],
["LUFTFAHRZEUG","FERNGESTEUERT","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","Quadcopter, UAV, unbemanntes Luftfahrzeug, RC-Jet, RC-Hubschrauber"],
["LUFTFAHRZEUG","RAKETE","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","rakete, rakete, jetpack, space shuttle, spacex, nasa, icbm, atomrakete, sprengkopf"],
["ALARM","GLOCKE","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","Feuerglocke, Schulglocke, Glocke an Bahnübergängen, Alarmglocke"],
["ALARM","SUMMER","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","Türsummer, Spielshow-Buzzer, Haustürsummer, Eingangssummer, Gegensprechanlagen-Summer"],
["ALARM","UHR","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","Digitaler Wecker, Wecker, Wecker"],
["ALARM","ELEKTRONISCH","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","Brandmelder, Rauchmelder, CO2-Melder, Autoalarm, Hausalarm"],
["ALARM","DIV","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","Verschiedenes"],
["ALARM","SIRENE","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","Sirene, Hupen, Luftschutzsirene, Tornadosirene"],
["ATMOSPHÄRE","LUFT","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","Wüste, Winter, ruhige Luft, Nachtluft, Bergluft, Nachtluft"],
["ATMOSPHÄRE","GEBIRGE","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","Alpen, Gebirge, Rockies, Tetons, Bergsteigen, bergig, schneebedeckt, Berghang, Gipfel"],
["ATMOSPHÄRE","FREIZEITPARK","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, Freizeitpark, Vergnügungspark, Jahrmarkt, Kirmes, Jahrmarkt, Midway, Jahrmarkt, Festival, Spukhaus, Funhouse, Arcade, Flipper"],
["ATMOSPHÄRE","VOGELGESANG","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","Chor in der Morgendämmerung, Morgenchor, hübscher Vogel, Schwärme, Zwitschern, Zwitschern, Piepsen"],
["ATMOSPHÄRE","FEIER","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","öffentliche Versammlung, Veranstaltung, Party, Gala, Karneval, Fest, Fiesta, Festival"],
["ATMOSPHÄRE","BAUSTELLE","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","Straßenbau, Gebäude, Zimmerei, Renovierung, Hausrenovierung, Straßenreparatur, Wiederaufbau"],
["ATMOSPHÄRE","WÜSTE","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","Wüste, Wüstenei, Oase, öde, Ödland, Sahara, dürr, Sanddünen, trostlos"],
["ATMOSPHÄRE","DESIGNED","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","künstlich, gestaltet"],
["ATMOSPHÄRE","NOTFALL","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","Tatort, Brandbekämpfung, Polizei, Sanitäter, Beweismittel, Naturkatastrophe, Schießerei, Unfall, Katastrophe, Verletzung, Massenkarambolage"],
["ATMOSPHÄRE","FANTASTISCH","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","Fee, Fantasie, magisch, Reich, Traum, Mittelerde, Pandora"],
["ATMOSPHÄRE","LANDWIRTSCHAFT","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","Bauernhof, Ernte, Ackerbau, Ranch, Gehöft, Grange, Plantage, Ackerland, Pferch, Scheune, Weide, Molkerei, Weinberg, Korral, pastoral"],
