[["LUFT","BLÆSE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","trykluft, trykaflastning, frigivelse, puff, sputter, flutter, flutter, rensning"],
["LUFT","SPRÆNGNING","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","luftstød, luftpust, luftpuf, chuff, spurt, sprængning"],
["LUFT","HVÆSEN","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","luftudledning, udstødning, udstødning, uddrive, lækage"],
["LUFT","DIVERSE","AIRMisc","AIR","Air sounds not fitting another category in this list.","diverse"],
["LUFT","SUGE","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","vakuum, suge, suge, suge"],
["FLYVER","DØR","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","cockpitdør, flydør, luge, nødudgang"],
["FLYVER","HELIKOPTER","AEROHeli","AERO","For all manner of helicopters, gycopters.","gyrokopter, whirlybird, chopper, ghettofugl, bellcopter, politihelikopter, huey, chopper, blackhawk"],
["FLYVER","INTERIØR","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jetfly, fly, fly, passagerfly, svævefly, zeppelin, passagerfly, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380, jagerfly"],
["FLYVER","JET","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","passagerfly, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380"],
["FLYVER","MEKANISME","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","landingsstel, cockpithåndtag, ror, flap"],
["FLYVER","MILITÆR","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","jagerfly, bombefly, stealth-bombefly, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
["FLYVER","DIVERSE","AEROMisc","AERO","Aircraft not fitting another category in this list.","luftskib, svævefly, varmluftballon, ultralette fly, dragefly, zeppelin, luftskib"],
["FLYVER","REKVISIT","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","biplan, triplan, turbopropfly, stuntfly, crop duster, piper cub, propel, twin-prop, propjet, luftskrue"],
["FLYVER","RADIO KONTROLLERET","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","quadcoptere, uav, ubemandede luftfartøjer, rc jetfly, rc helikopter"],
["FLYVER","RAKET","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","raket, missil, jetpack, rumfærge, spacex, nasa, icbm, atomraket, sprænghoved"],
["ALARM","KLOKKE","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","brandklokke, skoleklokke, klokke til jernbaneoverskæring, alarmklokke"],
["ALARM","SUMMER","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","dørsummer, spilleshow-summer, hoveddørssummer, indgangssummer, intercom-summer, intercom-summer"],
["ALARM","UR","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","digitalt vækkeur, vækkeur, vækkeur, vækkeur"],
["ALARM","ELEKTRISK","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","branddetektor, røgdetektor, CO2-detektor, bilalarm, husalarm"],
["ALARM","DIVERSE","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","diverse"],
["ALARM","SIRENE","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","klaxon, ahooga-horn, sirene til luftangreb, tornadosirene"],
["ATMOSFÆRE","LUFT","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","ørken, vinter, stille luft, natteluft, bjergluft, natteluft"],
["ATMOSFÆRE","ALPIN","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alper, bjerge, rockies, tetons, bjergbestigning, bjergrige, sneklædte, bjergside, bjergtinde, top"],
