[["AIRE","SOPLAR","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","aire comprimido, despresurizar, liberar, soplar, chisporrotear, aletear, purgar"],
["AIRE","RÁFAGA","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","ráfaga de aire, puf de aire, chuff, chorro, chorro"],
["AIRE","SILBIDO","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","escape de aire, escape, expulsión, fuga"],
["AIRE","MISCELÁNEA","AIRMisc","AIR","Air sounds not fitting another category in this list.","varios"],
["AIRE","SUCCIÓN","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","vacío, chupar, succionar"],
["AVIÓN","PUERTA","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","puerta de cabina, puerta de avión, escotilla, salida de emergencia"],
["AVIÓN","HELICÓPTERO","AEROHeli","AERO","For all manner of helicopters, gycopters.","girocóptero, whirlybird, helicóptero, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk"],
["AVIÓN","INTERIOR","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jet, avión, aeronave, avión de pasajeros, planeador, zepelín, avión de pasajeros, avión de línea, avión jumbo, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, avión de combate"],
["AVIÓN","CAZA","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","avión de pasajeros, avión de línea, avión jumbo, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380"],
["AVIÓN","MECANISMO","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","tren de aterrizaje, palanca de cabina, timón, flap"],
["AVIÓN","MILITAR","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","caza, bombardero, bombardero furtivo, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
["AVIÓN","MISCELÁNEA","AEROMisc","AERO","Aircraft not fitting another category in this list.","dirigible, planeador, globo aerostático, ultraligero, ala delta, zepelín, dirigible"],
["AVIÓN","PROPULSOR","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","biplano, triplano, turbohélice, avión acrobático, fumigadora, piper cub, hélice, bimotor, propulsor, aerodeslizador"],
["AVIÓN","RADIO CONTROL","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","cuadricópteros, uav, vehículo aéreo no tripulado, avión rc, helicóptero rc"],
["AVIÓN","COHETE","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","cohete, misil, jetpack, transbordador espacial, spacex, nasa, icbm, cohete nuclear, cabeza nuclear"],
["ALARMA","CAMPANA","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","timbre de incendio, timbre de escuela, timbre de cruce de ferrocarril, timbre de alarma"],
["ALARMA","ZUMBADOR","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","timbre de puerta, timbre de programa de juegos, timbre de puerta principal, timbre de entrada, timbre de interfono"],
["ALARMA","RELOJ","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","despertador digital, despertador, despertador"],
["ALARMA","ELECTRÓNICA","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","detector de incendios, detector de humo, detector de CO2, alarma de coche, alarma de casa"],
["ALARMA","MISCELÁNEA","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","varios"],
