[["ILMA","PUHALLUS","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","paineilma, paineenalennus, vapautus, puhallus, räiskintä, räpyttely, huuhtelu, puhdistus"],
["ILMA","PURKAUS","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","paineilmapuhallus, paineilmapuhallus, puhallus, puhallus, puhallus, puhallus"],
["ILMA","SIHINÄ","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","ilmaa vapauttaa, pakottaa, karkottaa, vuotaa"],
["ILMA","SEKALAISET","AIRMisc","AIR","Air sounds not fitting another category in this list.","sekalaiset"],
["ILMA","IMU","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","tyhjiö, imu, imu"],
["ILMA-ALUS","OVI","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","ohjaamon ovi, lentokoneen ovi, luukku, hätäuloskäynti"],
["ILMA-ALUS","HELIKOPTERI","AEROHeli","AERO","For all manner of helicopters, gycopters.","gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk"],
["ILMA-ALUS","INTERIÖÖRI","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","suihkukone, lentokone, lentokone, matkustajakone, purjelentokone, zeppeliini, matkustajakone, suihkukone, jumbojetti, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380, hävittäjäkone."],
["ILMA-ALUS","LENTOKONE","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","matkustajakone, suihkukone, jumbojetti, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, A310, A330, A350, A380."],
["ILMA-ALUS","MEKANISMI","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","laskutelineet, ohjaamon vipu, peräsin, laskusiiveke"],
["ILMA-ALUS","ARMEIJA","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","hävittäjä, pommikone, häivepommikone, siniset enkelit, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
["ILMA-ALUS","SEKALAINEN","AEROMisc","AERO","Aircraft not fitting another category in this list.","ilmalaiva, purjelentokone, kuumailmapallo, ultrakevyt, riippuliituri, zeppeliini, ilmalaiva."],
["ILMA-ALUS","VÄLINEISTÖ","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","kaksitaso, kolmitaso, potkuriturbiinikone, stunt-kone, crop duster, piper cub, potkuri, kaksoispotkuri, potkurisuihkukone, ilmaruuvi."],
["ILMA-ALUS","RADIO-OHJATTAVA","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","nelikopterit, uav, miehittämätön ilma-alus, rc-suihkukone, rc-helikopteri."],
["ILMA-ALUS","RAKETTI","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","raketti, ohjus, jetpack, avaruussukkula, spacex, nasa, icbm, ydinraketti, ydinkärki, ydinkärki."],
["HÄLYTIN","KELLO","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","palokello, koulun kello, rautatieristeyksen kello, hälytyskello."],
["HÄLYTIN","SUMMERI","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","ovisummeri, peliohjelma-summeri, ulko-ovisummeri, sisääntulosummeri, sisäpuhelinsummeri, sisäpuhelinsummeri"],
["HÄLYTIN","HERÄTYSKELLO","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","digitaalinen herätyskello, herätyskello, herätyskello"],
["HÄLYTIN","ELEKTRONINEN","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","palovaroitin, savunilmaisin, CO2-ilmaisin, autohälytin, kodin hälytin"],
["HÄLYTIN","SEKALAINEN","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","sekalaiset"],
["HÄLYTIN","TORVI","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","klaxon, ahooga-torvi, ilmahyökkäyssireeni, tornadosireeni"],
["AMBIENSSI","ILMA","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","aavikko, talvi, hiljainen ilma, yöilma, vuoristoilma, yöilmaa"],
["AMBIENSSI","VUORISTO","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alpit, vuoret, vuoret, kalliot, tetonit, vuorikiipeily, vuoristoinen, lumihuippuinen, vuorenrinne, huippu, huippu"],
["AMBIENSSI","HUVIPUISTO","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, teemapuisto, huvipuisto, karnevaali, tivoli, tivoli, läänin tivoli, midway, kiertävät tivolit, festivaali, kummitustalo, huvipuisto, pelihalli, pelihalli, flipperi"],
["AMBIENSSI","LINNUNLAULU","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","aamukuoro, aamukuoro, kaunis lintu, parvi, sirkutus, tirisevä, tirisevä, tirkistely, tirkistely"],
["AMBIENSSI","JUHLA","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","julkinen kokoontuminen, tapahtuma, juhla, juhla, gaala, karnevaali, fest, fiesta, festivaali"],
["AMBIENSSI","RAKENNUS","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","tienrakennus, rakentaminen, kirvesmies, remodel, home reno, tien korjaus, uudelleenrakentaminen"],
["AMBIENSSI","AAVIKKO","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","aavikko, tumbleweed, keidas, karu, joutomaa, sahara, arid, hiekkadyynit, autioinen"],
["AMBIENSSI","DESIGNED","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","keinotekoinen, suunniteltu"],
