[["AIR","SOUFFLE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","air comprimé, dépressuriser, relâcher, souffler, cracher, flotter, purger"],
["AIR","EXPULSION","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","souffle d'air, pouf d'air, souffler, gicler, exploser"],
["AIR","SIFFLEMENT","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","libération d'air, échappement, expulsion, fuite"],
["AIR","DIVERS","AIRMisc","AIR","Air sounds not fitting another category in this list.","divers"],
["AIR","ASPIRATION","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","vide, aspiration, succion"],
["AVIONS","PORTE","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","porte de cockpit, porte d'avion, trappe, sortie de secours"],
["AVIONS","HÉLICOPTÈRE","AEROHeli","AERO","For all manner of helicopters, gycopters.","gyrocoptère, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk"],
["AVIONS","INTÉRIEUR","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jet, avion, aéronef, jet de passagers, planeur, zeppelin, avion de ligne, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, avion de chasse"],
["AVIONS","À RÉACTION","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","avion de ligne, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380"],
["AVIONS","MÉCANISME","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","train d'atterrissage, levier du cockpit, gouvernail, volet"],
["AVIONS","MILITAIRE","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","avion de chasse, bombardier, bombardier furtif, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
["AVIONS","DIVERS","AEROMisc","AERO","Aircraft not fitting another category in this list.","dirigeable, planeur, montgolfière, ultra-léger, deltaplane, zeppelin, dirigeable"],
["AVIONS","À HÉLICE","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","biplan, triplan, turbopropulseur, avion cascadeur, crop duster, piper cub, avion à hélice, bi-propulseur, propjet, aircrew"],
["AVIONS","TÉLÉCOMMANDÉ","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","quadcoptères, UAV, véhicules aériens sans pilote, jet RC, hélicoptère RC"],
["AVIONS","FUSÉE","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","fusée, missile, jetpack, navette spatiale, spacex, nasa, icbm, fusée nucléaire, ogive"],
["ALARMES","CLOCHE","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","cloche d'incendie, cloche d'école, cloche de passage à niveau, cloche d'alarme"],
["ALARMES","BUZZER","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","buzzer de porte, buzzer de jeu, buzzer de porte d'entrée, buzzer d'entrée, buzzer d'interphone"],
["ALARMES","RÉVEIL","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","réveil numérique, réveil, réveil"],
["ALARMES","ÉLECTRONIQUE","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","détecteur d'incendie, détecteur de fumée, détecteur de CO2, alarme voiture, alarme maison"],
["ALARMES","DIVERS","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","divers"],
["ALARMES","SIRÈNE","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","klaxon, corne de brume, sirène de raid aérien, sirène de tornade"],
["AMBIANCE","AIR","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","désert, hiver, air calme, air de nuit, air de montagne, air de nuit"],
["AMBIANCE","MONTAGNE","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alpes, montagnes, rochers, tetons, alpinisme, montagneux, enneigé, flanc de montagne, pic"],
["AMBIANCE","ATTRACTION","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, parc à thème, parc d'attractions, carnaval, foire, foire de comté, midway, foire itinérante, festival, maison hantée, funhouse, arcade, flipper"],
["AMBIANCE","OISEAUX","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","chœur de l'aube, chœur du matin, joli oiseau, volée, gazouillis, gazouillis, voyeurisme"],
["AMBIANCE","FESTIVE","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","rassemblement public, événement, fête, gala, carnaval, fest, fiesta, festival"],
["AMBIANCE","CHANTIER","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","construction de route, bâtiment, charpenterie, rénovation, rénovation de maison, réparation de route, reconstruction"],
["AMBIANCE","DÉSERT","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","désert, tumble, oasis, stérile, terrain vague, sahara, aride, dunes de sable, désolation"],
["AMBIANCE","DESIGN","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","artificiel, conçu"],
["AMBIANCE","URGENCE","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","scène de crime, lutte contre les incendies, police, médecins, preuves, catastrophe naturelle, fusillade, accident, catastrophe, blessure, carambolage, victime"],
["AMBIANCE","FANTASTIQUE","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","fée, fantastique, magique, royaume, rêve, terre du milieu, pandore"],
["AMBIANCE","FERME","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","ferme, récolte, labourage, ranch, ferme, grange, plantation, terre agricole, enclos, grange, pâturage, laiterie, vignoble, corral, pastoral"],
["AMBIANCE","FORÊT","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","forêt, bois, terres boisées, forêt boréale, forêt pluviale, forêt pluviale tempérée, forêt nuageuse, feuillus, conifères"],
["AMBIANCE","PLAINE","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","prairie, terre agricole, herbe, prairie, pâturage, pâturage, plaine"],
["AMBIANCE","HISTORIQUE","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","ville fantôme, vieil ouest, ruée vers l'or, ancienne Rome, ancienne Grèce"],
["AMBIANCE","HIGH TECH","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratoire, salle des machines, serveur, centre de données, salle de contrôle"],
["AMBIANCE","HÔPITAL","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","salle d'urgence, chirurgie, salle d'attente, infirmerie, clinique, sanatorium, infirmerie"],
