[["空気","吹く","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","圧縮空気、減圧、放出、パフ、スパッタ、フラッター、パージ"],
["空気","バースト、爆発","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","エアブラスト、エアパフ、シュッ、スパート、ブラスト"],
["空気","シュー、シッ、漏れる","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","エアリリース、排気、排出、リーク"],
["空気","その他","AIRMisc","AIR","Air sounds not fitting another category in this list.","雑多な"],
["空気","吸う、吸引","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","真空、吸引、吸引"],
["航空機、飛行機","ドア","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","コックピットドア、航空機のドア、ハッチ、非常口"],
["航空機、飛行機","ヘリコプター","AEROHeli","AERO","For all manner of helicopters, gycopters.","ジャイロコプター、ホーリーバード、チョッパー、ゲットーバード、ベルコプター、ポリスチョッパー、ヒューイ、チョッパー、ブラックホーク"],
["航空機、飛行機","内部","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","ジェット機、飛行機、航空機、旅客機、グライダー、ツェッペリン、旅客機、ジェットライナー、ジャンボジェット、ラージェット、エアバス、ボーイング、ボンバルディア、737、747、777、A310、DC-10、A310、A330、A350、A380、ファイタージェット"],
["航空機、飛行機","ジェット","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","旅客機、ジェット旅客機、ジャンボジェット、ラージェット、エアバス、ボーイング、ボンバルディア、737、747、777、A310、DC-10、A310、A330、A350、A380"],
["航空機、飛行機","機械","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","ランディングギア、コックピットレバー、ラダー、フラップ"],
["航空機、飛行機","軍用機","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","戦闘機、爆撃機、ステルス爆撃機、ブルーエンジェル、サンダーバード、ロッキード、ミグ、F18、F16、F35、F22、A10、P52"],
["航空機、飛行機","その他","AEROMisc","AERO","Aircraft not fitting another category in this list.","飛行船、グライダー、熱気球、ウルトラライト、ハンググライダー、ツェッペリン、ディリブル（飛空艇"],
["航空機、飛行機","プロペラ","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","複葉機、三葉機、ターボプロップ、スタント機、クロップダスター、パイパーカブ、プロペラ、ツインプロップ、プロペラジェット、エアスクリュー"],
["航空機、飛行機","無線、通信","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","クアッドコプター、UAV、無人航空機、RCジェット、RCヘリ"],
