[["LUCHT","BLAZEN","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","perslucht, drukloos maken, loslaten, puff, sputter, flutter, purge..."],
["LUCHT","UITBARSTING","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","luchtstoot, lucht poef, chuff, spurt, blazen"],
["LUCHT","SISSEN","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","lucht afblazen, uitlaten, verdrijven, lek"],
["LUCHT","DIVERSEN","AIRMisc","AIR","Air sounds not fitting another category in this list.","diverse"],
["LUCHT","ZUIGING","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","vacuüm, zuigen, zuigen"],
["LUCHTVAART","DEUR","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","cockpitdeur, vliegtuigdeur, luik, nooduitgang"],
["LUCHTVAART","HELIKOPTER","AEROHeli","AERO","For all manner of helicopters, gycopters.","gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, politiechopper, huey, chopper, blackhawk"],
["LUCHTVAART","INTERIEUR","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jet, vliegtuig, vliegtuig, passagiersjet, zweefvliegtuig, zeppelin, airliner, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, gevechtsvliegtuig"],
["LUCHTVAART","STRAALJAGER","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","airliner, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380"],
["LUCHTVAART","MECHANISME","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","landingsgestel, cockpit hendel, roer, flap"],
["LUCHTVAART","MILITAIR","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","straaljager, bommenwerper, stealth bommenwerper, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
["LUCHTVAART","DIVERSEN","AEROMisc","AERO","Aircraft not fitting another category in this list.","blimp, zweefvliegtuig, heteluchtballon, ultralicht, deltavlieger, zeppelin, zeppelin"],
["LUCHTVAART","PROPELLER","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","tweedekker, driedekker, turboprop, stuntvliegtuig, crop duster, piper cub, propeller, twin-prop, propjet, airscrew"],
["LUCHTVAART","RADIOGRAFISCH BESTUURBAAR","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","quadcopters, uav, onbemand luchtvoertuig, rc jet, rc helikopter"],
