[["LUFT","BLÅSE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","trykkluft, trykkavlastning, slipp, pust, sputter, flagre, rensing"],
["LUFT","SPRENGNING","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","luftblåsing, luftpuff, chuff, sprut, sprengning"],
["LUFT","HISS","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","luftutslipp, eksos, utstøting, lekkasje"],
["LUFT","DIVERSE","AIRMisc","AIR","Air sounds not fitting another category in this list.","Diverse"],
["LUFT","SUGE","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","vakuum, suge, suge"],
["LUFTFARTØY","DØR","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","cockpitdør, flydør, luke, nødutgang"],
["LUFTFARTØY","HELIKOPTER","AEROHeli","AERO","For all manner of helicopters, gycopters.","gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, politi chopper, huey, chopper, blackhawk"],
["LUFTFARTØY","INTERIØR","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jet, fly, fly, passasjerjet, glider, zeppelin, passasjerfly, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, jagerfly"],
["LUFTFARTØY","JET","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","passasjerfly, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380"],
["LUFTFARTØY","MEKANISME","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","landingsutstyr, cockpitspak, ror, klaff"],
["LUFTFARTØY","MILITÆRT","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","jagerfly, bombefly, stealth bombefly, blå engler, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
