[["POWIETRZE","PODMUCH","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","sprężone powietrze, obniżać ciśnienie, wypuszczać, puff, sputter, flutter, purge"],
["POWIETRZE","WYBUCH","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","podmuch powietrza, puff, chuff, spurt, wybuch"],
["POWIETRZE","SYK","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","wypuszczanie powietrza, wydech, wydalanie, wyciek"],
["POWIETRZE","RÓŻNE","AIRMisc","AIR","Air sounds not fitting another category in this list.","różne"],
["POWIETRZE","SSANIE","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","próżnia, ssać, zasysać"],
["LOTNICTWO","DRZWI","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","drzwi kokpitu, drzwi samolotu, właz, wyjście awaryjne"],
["LOTNICTWO","HELIKOPTER","AEROHeli","AERO","For all manner of helicopters, gycopters.","gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk"],
["LOTNICTWO","WNĘTRZE","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jet, airplane, aircraft, passenger jet, glider, zeppelin, airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, fighter jet"],
["LOTNICTWO","SAMOLOT ODRZUTOWY","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","samolot pasażerski, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380"],
["LOTNICTWO","MECHANIZM","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","podwozie, dźwignia kokpitu, ster, klapa"],
["LOTNICTWO","WOJSKOWE","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","odrzutowiec, bombowiec, bombowiec stealth, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
