[["ВОЗДУХ","ПОТОК","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","сжатый воздух, разгерметизация, выпуск, пыхтение, распыление, трепыхание, продувка"],
["ВОЗДУХ","ВЫСВОБОЖДЕНИЕ","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","воздушный взрыв, воздушный пуф, пыхтение, рывок, взрыв"],
["ВОЗДУХ","ШИПЕНИЕ","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","выпуск воздуха, выхлоп, изгнание, утечка"],
["ВОЗДУХ","РАЗНОЕ","AIRMisc","AIR","Air sounds not fitting another category in this list.","разное"],
["ВОЗДУХ","ВСАСЫВАНИЕ","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","вакуум, отсос, всасывание"],
["АВИАТРАНСПОРТ","ДВЕРИ","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","дверь кабины, дверь самолета, люк, аварийный выход"],
["АВИАТРАНСПОРТ","ВЕРТОЛЕТ","AEROHeli","AERO","For all manner of helicopters, gycopters.","гирокоптер, вихревая птица, вертолет, птица гетто, беллкоптер, полицейский вертолет, хьюи, вертолет, блэкхок"],
["АВИАТРАНСПОРТ","ИНТЕРЬЕР","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","реактивный самолет, аэроплан, самолет, пассажирский самолет, планер, цеппелин, авиалайнер, реактивный лайнер, джамбо джет, Learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, истребитель"],
["АВИАТРАНСПОРТ","САМОЛЕТ РЕАКТИВНЫЙ","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","авиалайнер, реактивный лайнер, джамбо джет, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380"],
["АВИАТРАНСПОРТ","МЕХАНИЗМ","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","шасси, рычаг кабины, руль, закрылки"],
["АВИАТРАНСПОРТ","ВОЕННЫЙ","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","истребитель, бомбардировщик, стелс-бомбардировщик, голубые ангелы, грозовые птицы, локхид, миг, F18, F16, F35, F22, A10, P52"],
