[["LUFT","BLÅS","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","tryckluft, tryckavlastning, släpp ut, puffa, spruta, fladdra, fladdra, rensa"],
["LUFT","EXPLOSIV","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","luftstöt, luftpuff, luftpuff, luftspurt, luftstöt, luftstöt"],
["LUFT","PYS","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","luftutsläpp, utlopp, utlopp, läckage"],
["LUFT","DIVERSE","AIRMisc","AIR","Air sounds not fitting another category in this list.","diverse"],
["LUFT","SUG","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","vakuum, suga, suga"],
["LUFTFARKOSTER","DÖRR","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","Cockpitdörr, flygplansdörr, lucka, nödutgång"],
["LUFTFARKOSTER","HELIKOPTER","AEROHeli","AERO","For all manner of helicopters, gycopters.","gyrokopter, whirlybird, chopper, ghettofågel, bellcopter, polishelikopter, huey, chopper, blackhawk"],
["LUFTFARKOSTER","INTERIÖR","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jet, flygplan, flygplan, passagerarjet, segelflygplan, zeppelin, passagerarplan, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380, stridsflygplan."],
["LUFTFARKOSTER","JET","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","flygplan, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380"],
["LUFTFARKOSTER","MEKANISM","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","landningsställ, cockpitspak, roder, klaffar."],
["LUFTFARKOSTER","MILITÄR","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","stridsflygplan, bombplan, stealthbombplan, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
["LUFTFARKOSTER","DIVERSE","AEROMisc","AERO","Aircraft not fitting another category in this list.","luftskepp, segelflygplan, varmluftsballong, ultralätt flygplan, hängflygplan, zeppelin, luftskepp."],
["LUFTFARKOSTER","PROPELLER","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","biplan, treplan, turbopropflygplan, stuntflygplan, crop duster, piper cub, propeller, tvåpropeller, propjet, luftskruv."],
["LUFTFARKOSTER","FJÄRRSTYRD","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","Fyrhjulingar, uav, obemannade flygfarkoster, rc jet, rc helikopter."],
["LUFTFARKOSTER","RAKET","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","raket, missil, jetpack, rymdfärja, spacex, nasa, icbm, kärnvapenraket, stridsspets"],
["LARM","RINGKLOCKA","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","brandklocka, skolklocka, klocka vid järnvägsövergång, larmklocka"],
["LARM","SUMMER","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","dörrsummare, spelprograms-summare, dörrsummare för ytterdörren, ingångssummare, intercom-summare"],
["LARM","KLOCKA","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","digital väckarklocka, väckarklocka, väckarklocka"],
["LARM","ELEKTRONISK","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","Branddetektor, rökdetektor, CO2-detektor, bilalarm, hemlarm."],
["LARM","DIVERSE","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","Diverse"],
["LARM","SIREN","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","Klaxon, ahooga-horn, luftvärnssiren, tornadosiren"],
["ATMOSFÄR","LUFT","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","öken, vinter, tyst luft, nattluft, bergsluft, nattluft"],
["ATMOSFÄR","ALPIN","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alper, berg, berg, rockies, tetons, bergsbestigning, bergigt, snöklätt, bergssida, topp"],
["ATMOSFÄR","NÖJESFÄLT","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, temapark, nöjespark, karneval, tivoli, mässa, länsmässa, midway, resemässa, festival, spökhus, funhouse, arkad, flipperspel"],
["ATMOSFÄR","FÅGELSÅNG","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","gryningskör, morgonkör, vacker fågel, flockar, kvittrande, pipande, pipande, pipande"],
["ATMOSFÄR","FEST","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","offentlig sammankomst, evenemang, fest, gala, karneval, fest, fiesta, festival"],
