[["HAVA","ÜFLEME","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","basınçlı hava, basıncı düşürmek, serbest bırakmak, puflamak, püskürmek, çırpınmak, boşaltmak"],
["HAVA","PÜSKÜRME","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","hava patlaması, hava pufu, çuf, fışkırma, patlama"],
["HAVA","TISLAMA","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","hava tahliyesi, egzoz, dışarı atma, sızıntı"],
["HAVA","DİĞER","AIRMisc","AIR","Air sounds not fitting another category in this list.","ÇEŞİTLİ"],
["HAVA","EMME","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","vakum, emmek, emme"],
["UÇAK","KAPI","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","kokpit kapısı, uçak kapısı, ambar, acil çıkış"],
["UÇAK","HELİKOPTER","AEROHeli","AERO","For all manner of helicopters, gycopters.","gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, polis helikopteri, huey, helikopter, blackhawk"],
["UÇAK","İÇ","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jet, uçak, uçak, yolcu jeti, planör, zeplin, airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, savaş uçağı"],
["UÇAK","JET","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380"],
["UÇAK","MEKANİZMA","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","iniş takımı, kokpit kolu, dümen, flap"],
["UÇAK","ASKERİ","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","savaş uçağı, bombardıman uçağı, hayalet bombardıman uçağı, mavi melekler, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
["UÇAK","DİĞER","AEROMisc","AERO","Aircraft not fitting another category in this list.","zeplin, planör, sıcak hava balonu, ultralight, yelken kanat, zeplin, zeplin"],
["UÇAK","PERVANELİ","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","çift kanatlı, üç kanatlı, turboprop, dublör uçak, crop duster, piper cub, pervaneli, çift pervaneli, pervaneli jet, hava vidası"],
["UÇAK","UZAKTAN KUMANDALI","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","quadcopterler, İHA, insansız hava aracı, rc jet, rc helikopter"],
["UÇAK","ROKET","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","roket, füze, jetpack, uzay mekiği, spacex, nasa, icbm, nükleer roket, savaş başlığı"],
["ALARM","ZİL","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","yangın zili, okul zili, demiryolu geçidi zili, alarm zili"],
["ALARM","BUZZER & İKAZ CİHAZI","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","kapı zili, oyun gösterisi zili, ön kapı zili, giriş zili, interkom zili"],
["ALARM","SAAT","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","dijital çalar saat, çalar saat, çalar saat"],
["ALARM","ELEKTRONİK","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","yangın dedektörü, duman dedektörü, CO2 dedektörü, araba alarmı, ev alarmı"],
["ALARM","DİĞER","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","ÇEŞİTLİ"],
["ALARM","SİREN","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","klakson, ahooga kornası, hava saldırısı sireni, kasırga sireni"],
["AMBİYANS","HAVA","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","çöl, kış, sessiz hava, gece havası, dağ havası, gece havası"],
["AMBİYANS","DAĞLAR","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alpler, dağlar, kayalıklar, tetonlar, dağcılık, dağlık, karla kaplı, dağ kenarı, zirve"],
["AMBİYANS","LUNAPARK","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, tema parkı, eğlence parkı, karnaval, fuar, ilçe fuarı, midway, gezici fuar, festival, perili ev, lunapark, atari salonu, langırt"],
["AMBİYANS","KUŞ ŞAKIMA","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","şafak korosu, sabah korosu, güzel kuş, sürüler, cıvıltı, cıvıldama, gözetleme"],
["AMBİYANS","KUTLAMA","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","halk toplantısı, etkinlik, parti, gala, karnaval, şenlik, fiesta, festival"],
["AMBİYANS","İNŞAAT","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","yol yapımı, inşaat, marangozluk, tadilat, ev yenileme, yol onarımı, yeniden inşa"],
["AMBİYANS","ÇÖL","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","çöl, takla, vaha, çorak, çorak arazi, sahara, kurak, kum tepeleri, ıssız"],
["AMBİYANS","TASARIM","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","yapay, tasarlanmış"],
["AMBİYANS","ACİL","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","olay yeri, yangınla mücadele, polis, sağlık görevlileri, kanıt, doğal afet, vurulma, kaza, felaket, yaralanma, yığılma kazazede"],
["AMBİYANS","FANTASTİK","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","peri, fantezi, büyülü, diyar, rüya, orta dünya, pandora"],
