[["ПОВІТРЯ","ПОТІК","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","стиснене повітря, розгерметизувати, випускати, пихкати, бризкати, тріпотіти, продувати"],
["ПОВІТРЯ","ВИВІЛЬНЕННЯ","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","повітряний вибух, повітряний пуф, пихкати, бризкати, вибухнути"],
["ПОВІТРЯ","ШИПІННЯ","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","випускати повітря, випускати, виганяти, витікати"],
["ПОВІТРЯ","РІЗНЕ","AIRMisc","AIR","Air sounds not fitting another category in this list.","різне"],
["ПОВІТРЯ","ВСМОКТУВАННЯ","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","вакуумувати, всмоктувати, відсмоктувати"],
["АВІАТРАНСПОРТ","ДВЕРІ","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","двері кабіни, двері літака, люк, аварійний вихід"],
["АВІАТРАНСПОРТ","ГВИНТОКРИЛ","AEROHeli","AERO","For all manner of helicopters, gycopters.","гірокоптер, вертушка, вертоліт, гвинтокрил, посильний, поліцейський вертоліт, гвинтокрил, гвинтокрил, чоппер, блекхоук"],
["АВІАТРАНСПОРТ","ІНТЕР'ЄР","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","реактивний літак, літак, літак, пасажирський літак, планер, дирижабль, авіалайнер, джетлайнер, джамбо джет, леарджет, аеробус, боїнг, бомбардувальник, 737, 747, 777, А310, DC-10, А310, А330, А350, А380, винищувач"],
["АВІАТРАНСПОРТ","ЛІТАК РЕАКТИВНИЙ","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","авіалайнер, реактивний лайнер, джамбоджет, літак, аеробус, боїнг, бомбардувальник, 737, 747, 777, А310, DC-10, А310, А330, А350, А380"],
["АВІАТРАНСПОРТ","МЕХАНІЗМ","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","шасі, важіль кабіни пілота, кермо, закрилок"],
["АВІАТРАНСПОРТ","ВІЙСЬКОВИЙ","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","винищувач, бомбардувальник, бомбардувальник-невидимка, блакитні ангели, громовержець, локхід, міг, F18, F16, F35, F22, А10, Р52"],
["АВІАТРАНСПОРТ","РІЗНЕ","AEROMisc","AERO","Aircraft not fitting another category in this list.","дирижабль, планер, повітряна куля, надлегкий, дельтаплан, цепелін, дирижабль"],
["АВІАТРАНСПОРТ","ЛІТАК ГВИНТОВИЙ","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","біплан, триплан, турбогвинтовий, трюковий літак, кукурузник, фанерник, пропелер, твін-проп, проджект, повітряний гвинт"],
["АВІАТРАНСПОРТ","РАДІОКЕРОВАНИЙ","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","квадрокоптер, БПЛА, безпілотний літальний апарат, реактивний літак, радіокерований вертоліт"],
["АВІАТРАНСПОРТ","РАКЕТА","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","ракета, ракета, реактивний ранець, космічний шаттл, space shuttle, spacex, nasa, icbm, ядерна ракета, боєголовка"],
["СИГНАЛИ ТРИВОГИ","ДЗВІНОК","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","пожежний дзвінок, шкільний дзвінок, дзвінок на залізничному переїзді, дзвінок тривоги"],
["СИГНАЛИ ТРИВОГИ","ДЗИЖЧАЧІ","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","дверний дзвінок, дзвінок ігрового шоу, дзвінок вхідних дверей, вхідний дзвінок, дзвінок домофона"],
["СИГНАЛИ ТРИВОГИ","БУДИЛЬНИК","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","цифровий будильник, будильник, будильник"],
["СИГНАЛИ ТРИВОГИ","ЕЛЕКТРОННІ","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","пожежний датчик, датчик диму, датчик CO2, автосигналізація, домашня сигналізація"],
["СИГНАЛИ ТРИВОГИ","РІЗНЕ","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","різне"],
["СИГНАЛИ ТРИВОГИ","СИРЕНА","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","клаксон, сирена ахуга, сирена повітряної тривоги, сирена торнадо"],
["АТМОСФЕРА","ПОВІТРЯ","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","пустеля, зима, тихе повітря, нічне повітря, гірське повітря, нічне повітря"],
["АТМОСФЕРА","АЛЬПИ","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","альпи, гори, скелі, тетони, альпінізм, гірський, засніжений, схил гори, пік"],
["АТМОСФЕРА","РОЗВАГИ","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","діснейленд, шість прапорів, тематичний парк, парк розваг, карнавал, ярмарок, окружний ярмарок, середина, мандрівний ярмарок, фестиваль, будинок з привидами, фанхаус, аркада, пінбол"],
["АТМОСФЕРА","СПІВ ПТАХІВ","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","світанковий хор, ранковий хор, гарна пташка, зграї, цвірінькання, щебетання, цвірінькання, підглядання"],
["АТМОСФЕРА","СВЯТО","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","громадське зібрання, захід, вечірка, свято, гала, карнавал, фест, фієста, фестиваль"],
["АТМОСФЕРА","БУДІВНИЦТВО","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","дорожнє будівництво, будівництво, теслярські роботи, реконструкція, ремонт будинку, ремонт доріг, відбудова"],
