[["AIR","BLOW","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","compressed air, depressurise, release, puff, sputter, flutter, purge"],
["AIR","BURST","AIRBrst","AIR","Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","air blast, air poof, chuff, spurt, blast"],
["AIR","HISS","AIRHiss","AIR","Slow air releases, a flat tire, leak in an air pipe.","air release, exhaust, expel, leak"],
["AIR","MISC","AIRMisc","AIR","Air sounds not fitting another category in this list.","miscellaneous"],
["AIR","SUCTION","AIRSuck","AIR","Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","vacuum, suck, suction"],
["AIRCRAFT","DOOR","AERODoor","AERO","Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","cockpit door, aircraft door, hatch, emergency exit"],
["AIRCRAFT","HELICOPTER","AEROHeli","AERO","For all manner of helicopters, gycopters.","gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk"],
["AIRCRAFT","INTERIOR","AEROInt","AERO","Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","jet, airplane, aircraft, passenger jet, glider, zeppelin, airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, fighter jet"],
["AIRCRAFT","JET","AEROJet","AERO","All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380"],
["AIRCRAFT","MECHANISM","AEROMech","AERO","Mechanical components of aircraft, for example landing gear, or levers and switches.","landing gear, cockpit lever, rudder, flap"],
["AIRCRAFT","MILITARY","AEROMil","AERO","Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.","fighter jet, bomber, stealth bomber, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52"],
["AIRCRAFT","MISC","AEROMisc","AERO","Aircraft not fitting another category in this list.","blimp, glider, hot air balloon, ultralight, hang glider, zeppelin, dirigible"],
["AIRCRAFT","PROP","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","biplane, triplane, turboprop, stunt plane, crop duster, piper cub, propeller, twin-prop, propjet, airscrew"],
["AIRCRAFT","RADIO CONTROLLED","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","quadcopters, uav, unmanned aerial vehicle, rc jet, rc helicopter, drone"],
["AIRCRAFT","ROCKET","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","rocket, missile, jetpack, space shuttle, spacex, nasa, icbm, nuclear rocket, warhead"],
["ALARMS","BELL","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","fire bell, school bell, railroad crossing bell, alarm bell"],
["ALARMS","BUZZER","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","door buzzer, game show buzzer, front door buzzer, entry buzzer, intercom buzzer"],
["ALARMS","CLOCK","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","digital alarm clock, alarm clock, alarm clock"],
["ALARMS","ELECTRONIC","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","fire detector, smoke detector, CO2 detector, car alarm, home alarm"],
["ALARMS","MISC","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","miscellaneous"],
["ALARMS","SIREN","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","klaxon, ahooga horn, air raid siren, tornado siren"],
["AMBIENCE","AIR","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","desert, winter, quiet air, night air, mountain air, night air"],
["AMBIENCE","ALPINE","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alps, mountains, rockies, tetons, mountaineering, mountainous, snowcapped, mountainside, peak"],
["AMBIENCE","AMUSEMENT","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, theme park, amusement park, carnival, fair, county fair, midway, traveling fair, festival, haunted house, funhouse, arcade, pinball"],
["AMBIENCE","BIRDSONG","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","dawn chorus, morning chorus, pretty bird, flocks, chirping, tweeting, peeping"],
["AMBIENCE","CELEBRATION","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","public gathering, event, party, gala, carnival, fest, fiesta, festival"],
["AMBIENCE","CONSTRUCTION","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","road construction, building, carpentry, remodel, home reno, road repair, rebuilding"],
["AMBIENCE","DESERT","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","desert, tumbleweed, oasis, barren, wasteland, sahara, arid, sand dunes, desolate"],
["AMBIENCE","DESIGNED","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","artificial, designed"],
["AMBIENCE","EMERGENCY","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","crime scene, fire fighting, police, medics, evidence, natural disaster, shooting, accident, catastrophe, injury, pileup casualty"],
["AMBIENCE","FANTASY","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","fairy, fantasy, magical, realm, dream, middle earth, pandora"],
["AMBIENCE","FARM","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","farm, harvest, tilling, ranch, farmstead, grange, plantation, farmland, pen, barn, pasture, dairy, vineyard, corral, pastoral"],
["AMBIENCE","FOREST","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","forest, woods, timberland, boreal forest, rainforest, temperate rainforest, cloud forest, deciduous, conifer"],
["AMBIENCE","GRASSLAND","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","prairie, farmland, grass, meadow, grazing, pasture, plains"],
["AMBIENCE","HISTORICAL","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","ghost town, old west, gold rush, ancient rome, ancient greece"],
["AMBIENCE","HITECH","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratory, machine room, server, data center, control room"],
["AMBIENCE","HOSPITAL","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","emergency room, surgery, waiting room, sickhouse, clinic, sanatorium, infirmary"],
["AMBIENCE","INDUSTRIAL","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","factory, manufacturing, plant, mill, warehouse, workshop"],
["AMBIENCE","INSECT","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","crickets, cicadas, katydids, swam, locusts"],
["AMBIENCE","LAKESIDE","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","lakes, lakeside, lapping, swimming, reservoir, pond, loch"],
["AMBIENCE","MARKET","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","market, market place, vendor, shopping district, bazaar, mart, exchange, flea market, square"],
["AMBIENCE","MISC","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","miscellaneous"],
["AMBIENCE","NAUTICAL","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautical, shipyard, poopdeck, stern, bow, aft, seafaring, seagoing, oceanic, marine, maritime, marina"],
["AMBIENCE","OFFICE","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","office, cubicle, workplace, department, station, branch, workstation"],
["AMBIENCE","PARK","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","park, playground, gardens, botantical gardens, city park, suburban park, ballpark, parkland"],
["AMBIENCE","PRISON","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","prison, jail, prison yard, penitentiary, slammer, jailhouse, detention, solitary confinement, penal institution"],
["AMBIENCE","PROTEST","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protest, rally, rallies, riot, chanting, yelling, screaming, angry crowd, marches, demonstration, turmoil, revolt, revolution, angry"],
